,Episode Number,Title,Plot,Release Date,Average Rating
806,807,Kanashiki Kettou: Luffy tai Sanji (Zenpen),Sanji and luffy undertake an emotional battle when luffy finally meets sanji and tries to get him back to the crew.,"Sun, Oct 1, 2017",8.5
807,808,Kanashiki Kettou: Luffy tai Sanji (Kouhen),"Luffy refuses to fight Sanji, because of this Sanji beats Luffy. When Sanji is leaving Luffy tells him that he doesn't believe he meant what he said and that he'd be waiting for him.","Sun, Oct 1, 2017",9.5
808,809,Fukushuu no Arashi: Ikari no Gundan Shuurai!,Because Luffy beat Cracker Big Mom becomes enraged so she sends her enraged army to deal with him. The Vinsmokes arrive at the Whole Cake Chateau and have a feast with Big Mom.,"Sun, Oct 15, 2017",9.1
809,810,Bouken no Owari: Sanji Ketsui no Propose,"Luffy faces Big Mom's enraged army. Nami and King Baum come back to help. In the Mirro-World, Randolph begins attacking Chopper and Carrot. Sanji agrees to marry pudding.","Sun, Oct 22, 2017",9.1
810,811,Koko de Matsu: Luffy tai Ikari no Gundan,Chopper and Carrot fight against Brulee. Sanji makes a deal with Big Mom to spare his friends. Luffy continues fighting.,"Sun, Oct 29, 2017",9.0
811,812,Chateau Sennyuu: Ubae! Road Ponegliff,Tamago increases security on the Poneglyphs. Brook and Pedro hatch a plan. Chopper and carrot get captured. Luffy finds himself inside a book.,"Sun, Nov 5, 2017",9.0
812,813,Innnen no Taimen: Luffy to Big Mom!,Big mom talks to Luffy. Sanji is worried about Luffy and his crew mates. Baron and Smoothie guards the treasure room. Pedro distracts the enemies.,"Sun, Nov 12, 2017",8.7
813,814,Tamashii no Sakebi: Brook & Pedro Dengeki Sakusen,"Brook manages to sneak into the Room of Treasure with the help of Pedro. While Sanji picks flowers for Pudding, she goes to the Prisoner Library to visit Luffy and Nami.","Sun, Nov 19, 2017",8.6
814,815,Sayonara: Purin Namida no Ketsui,"Pudding reveals a secret plan to prevent Sanji from marrying her, shocking Luffy and Nami and leaves saying goodbye. Brook defeats all the guards in treasure room. Tamago confronts Pedro in the third floor courtyard.","Sun, Nov 26, 2017",9.0
815,816,Hidari Me no Innen: Pedro tai Tamago-Danshaku,Chopper and carrot try to find a way out. Brook prepares to fight Big Mom. Pedro fights with baron and remembers how he fought him five years ago with Zepo.,"Sun, Dec 3, 2017",9.1
816,817, Shikemoku: Sanji no Kekkon Zen'ya,Luffy tries to get out of the book. Sanji makes a dish for pudding. A shocking truth is revealed about her.,"Sun, Dec 10, 2017",9.5
817,818,Fukutsu no Soul: Brook tai Big Mom,Reiju forgot how she ended up hurt. Brook is confronted by big mom. Chopper finds a way out of mirror world. Luffy is saved from prison library.,"Sun, Dec 17, 2017",9.2
818,819,Sora no Negai: Germa no Shippaisaku Sanji,Sanji reveals the truth to Reiju. Reiju tells him about their mother.,"Sun, Dec 24, 2017",9.1
819,820,Sanji no Moto e: Luffy Gyakushuu no Dai Gekisou!,Reiju tells sanji to run away. Luffy is searching Sanji desperately. Brook finds himself totally at the whim of big Mom. Pedro reveals his explosive plan to create a distraction.,"Sun, Jan 7, 2018",9.0
820,821,Chateau Douran: Luffy Yakusoku no Basho e,Pedro is presumed dead. Reiju explains Luffy the situation. Nami and Jimbe find themselves surrounded by enemies. Luffy runs for the Rendezvous point where he promised to meet Sanji.,"Sun, Jan 14, 2018",8.6
821,822,Wakare no Ketsui: Sanji to Mugiwara Bentou,Luffy struggles to fight due to extreme hunger. Jimbe meets Brulee in the mirror world. Brook is shocked after hearing about Pudding's truth. Sanji is unable to decide what to do.,"Sun, Jan 21, 2018",7.8
822,823,Yonkou no Negaeri: Brook Kyuushutsu Daisakusen!,"Nami, Chopper, Jimbe, Pedro and Carrot try to save Brook from big mom through mirror world. Sanji and Luffy try to reach rendezvous point.","Sun, Jan 28, 2018",8.4
823,824,"The Rendezvous! Luffy, a One-on-One at His Limit!",Luffy continues his fight with Counter. Brook joins everyone in mirror world. Vinsmoke family celebrates their alliance with big mom. Sanji desperately searches Luffy.,"Sun, Feb 4, 2018",8.7
824,825,A Liar! Luffy and Sanji!!,"After a harsh struggle, Luffy finally manages to defeat Counter. Sanji arrives and finds Luffy. Luffy decides to help Sanji when he hears his reasons for attending the party.","Sun, Feb 11, 2018",9.4
825,826,Sanji Comes Back! Crash! The Tea Party from Hell!,"After Luffy and Sanji reconcile, the Sanji Retrieval Team manages to contact them through a piece of mirror. Jinbe proceeds to talk about Bege's past and proposes forming an alliance with him.","Sun, Feb 18, 2018",9.0
826,827,A Secret Meeting! Luffy vs. the Fire Tank Pirates!,"The Sanji Retrieval Team goes to the Fire Tank Pirates' hideout to meet Capone Bege. Meanwhile, the Sun Pirates tend to an injured Pekoms and guard him to prevent him from reporting to Big Mom.","Sun, Mar 4, 2018",7.8
827,828,The Deadly Pact! Luffy & Bege's Allied Forces!,"Bege, Ceasar, Jinbe and the straw hat pirates talk about how they can assassinate Big Mom.","Sun, Mar 18, 2018",8.5
828,829,Luffy Engages in a Secret Maneuver! The Wedding Full of Conspiracies Starts Soon!,Some of the Big Mom pirates get suspicious of Sanj. The wedding starts in less than an hour.,"Sun, Mar 25, 2018",8.0
829,830,The Family Gets Together! The Hellish Tea Party Starts!,The leaders of the underworld arrive at the tea party. Katakuri and two of his brothers stop assassins from entering Big Mom's tea party.,"Sun, Apr 1, 2018",8.8
830,831,The Broken Couple! Sanji and Pudding Enter!,Bege gets his men to help with the assassination and make sure the plan doesn't get leaked. Sanji begins to question himself about Pudding wanting to kill him.,"Sun, Apr 8, 2018",7.9
831,832,A Deadly Kiss! The Mission to Assassinate the Emperor Kicks Off!,When Sanji lifts Pudding's gown and sees her third eye he calls it beautiful causing Pudding to get emotional. A gunshot is fired giving Luffy the signal to crash the tea party.,"Sun, Apr 15, 2018",9.2
832,833,Returning the Sake Cup! The Manly Jimbei Pays His Debt!,"Jinbe tells Big Mom that he is the one behind Luffy crashing the tea party, Jinbe also asks to leave the Big Mom Pirates and join the Straw hats. While everyone is distracted Brook has a plan.","Sun, Apr 22, 2018",9.5
833,834,The Mission Failed?! The Big Mom Pirates Strike Back!,"Brook destroys the portrait of mother Carmel, however Big Mom doesn't shriek. Pudding tries to kill Sanji. Germa gets captured by the Big Mom pirates. Katakuri goes after Luffy but Bege, Pedro and Jinbe defend him.","Sun, Apr 29, 2018",9.1
834,835,"Run, Sanji! SOS! Germa 66!",Luffy shows Big Mom the smashed portrait of mother Carmel. Big Mom shrieks stunning everyone without earbuds. Sanji and the straw hats save the Vinsmoke family.,"Sun, May 6, 2018",9.1
835,836,Mom's Secret! The Giant's Island Elbaph and a Little Monster!,"When Big Mom was five years old she was left on Elbaf by her parents. Big Mom was taken care of by mother Carmel, the nun of an orphanage. As a child, Big Mom caused trouble at the orphanage.","Sun, May 13, 2018",8.0
836,837,The Birth of Mom! The Day That Carmel Vanished!,Linlin causes havoc at Elbaf which leads to the death of one of the giants and her having to leave Elbaf along with mother Carmel and the other kids. Mother Carmel's true intentions are brought to light.,"Sun, May 20, 2018",8.9
837,838,The Launcher Blasts! The Moment of Big Mom's Assassination!,It is revealed how Big Mom became a pirate. The assassination plan begins to quickly fall apart.,"Sun, May 27, 2018",8.1
838,839,The Evil Army! Transform! Germa 66!,Bege transforms into a giant fortress allowing people to hide in him. Germa 66 spring into action and assist in fighting against the Big Mom pirates. After trying a few more times Bege announces the assassination of Big Mom failed.,"Sun, Jun 3, 2018",8.4
839,840,Cutting the Father-Son Relationship! Sanji and Judge!,Big Mom stops shrieking and comes to her senses and attacks Bege's castle body. Bege comes up with a plan of escape.,"Sun, Jun 10, 2018",7.8
840,841,Escape From the Tea Party! Luffy vs. Big Mom!,Caesar tries to fly with Bege and escape from the Big Mom Pirates with everyone inside of Bege. Germa 66 help defend Ceasar.,"Sun, Jun 17, 2018",8.7
841,842,"The Execution Begins! Luffy's Allied Forces Are Annihilated?!""",Judge Vinsmoke is defeated by Big Mom. All of Luffy's allies are captured. An unexpected event greatly shifts the tide of battle.,"Sun, Jun 24, 2018",8.7
842,843,The Chateau Collapses! The Straw Hat's Great Escape Begins!,The straw hat pirates and the fire tank pirates decide to make their escape and discontinue from traveling together. Big Mom has a hunger pang and starts attacking everything.,"Sun, Jul 1, 2018",7.8
843,844,The Spear of Elbaph! Onslaught! The Flying Big Mom!,The straw hats are retreating back to their ship while Big Mom pursues them. Germa 66 get rid of the Big Mom pirates attacking their kingdom.,"Sun, Jul 8, 2018",7.7
844,845,Pudding's Determination! Ablaze! The Seducing Woods!,The straw hats continue to flee from Big Mom on Kingbaum. Pudding asks Chiffon for help in baking a cake to stop Big Mom's rampage.,"Sun, Jul 15, 2018",7.9
845,846,A Lightning Counterattack! Nami and Zeus the Thundercloud!,The straw hats flee from Big Mom. Chopper and Brook make their way to the shark submerge. Nami uses Zeus for an attack on Big Mom.,"Sun, Jul 22, 2018",7.8
846,847,A Coincidental Reunion! Sanji and the Lovestruck Evil Pudding!,Chopper and Brook get to the sunny only to find the Big Mom pirates occupying it. Brook and Chopper fight the pirates on the sunny. Chiffon and Pudding tell Sanji about their plan to make a wedding cake for Big Mom and ask him for help.,"Sun, Jul 29, 2018",7.7
847,848,Save the Sunny! Fighting Bravely! Chopper and Brook!,Sanji makes his way with Pudding and Chiffon to make a wedding cake for Big Mom. Brook and Chopper fight Pero-Pero. Luffy and the rest of the straw hats make their way to the sunny.,"Sun, Aug 5, 2018",7.8
848,849,"Before the Dawn! Pedro, the Captain of the Guardians!",Peros uses his candy to halt the sunny. Pedro remembers Gol D Roger. Pedro uses his last resort to stop Peros.,"Sun, Aug 12, 2018",9.4
849,850,"I'll Be Back! Luffy, Deadly Departure!",The straw hats get ready to use coup-de burst to escape from the Big Mom pirates. Luffy and Katakuri face off before their fight.,"Sun, Aug 19, 2018",9.3
850,851,"The Man with a Bounty of Billion! The Strongest Sweet General, Katakuri!",Luffy and Katakuri begin their fight. Brook and Chopper are told by Nami about Pedro's apparent demise. Sanji. Pudding and Chiffon continue making their way to the island with the ingredients to make Big Mom's wedding cake.,"Sun, Aug 26, 2018",9.0
851,852,A Hard Battle Starts! Luffy vs. Katakuri!,"Luffy's and Katakuri's battle becomes more and more one-sided in favor of Katkuri. Sanji, Pudding and Chiffon arrive at the cake factory and begin making the wedding cake for Big Mom.","Sun, Sep 2, 2018",9.1
852,853,"The Green Room! An Invincible Helmsman, Jimbei!","Luffy tells Nami to break all the mirrors on the ship. Sanji, Pudding, Chiffon and the 31 chefs work together to make the wedding cake for Big Mom. A giant wave is made by Big Mom but Jinbei comes up with a quick plan to get through it.","Sun, Sep 16, 2018",8.6
853,854,The Threat of the Mole! Luffy's Silent Fight!,The straw hats come up with a rendezvous point after the Big Mom pirates believe some of them to be dead. Germa continues to fight with the Big Mom pirates. Brulee overhears the straw hats plan and lets Peros know where they plan to meet.,"Sun, Sep 23, 2018",8.9
854,855,The End of the Deadly Battle?! Katakuri's Awakening in Anger!,Katakuri uses his awakened devil fruit ability. Germa 66 defeat the group of Big Mom pirates invading their kingdom. Katakuri looks to end the battle between himself and Luffy.,"Sun, Sep 30, 2018",8.6
855,856,The Forbidden Secret! Katakuri's Merienda!,Katakuri begins to eat but he does it alone so no one sees him. Luffy sees something that Katakuri doesn't want anyone to see and sends him into a rage.,"Sun, Oct 7, 2018",9.3
856,857,Luffy Fights Back! The Invincible Katakuri's Weak Point!,Luffy uses fourth gear and begins to understand Katakuri's ability. Brulee tells Pudding about what she knows about the straw hats plans and Sanji hears her.,"Sun, Oct 14, 2018",9.0
857,858,Another Crisis! Gear Four vs. Unstoppable Donuts!,The Big Mom pirates can't locate the straw hat pirates or the fire tank pirates. Luffy runs out of time for fourth gear and must wait ten minutes before he can use haki again. Luffy finds Brulee and escapes from Katakuri using her power.,"Sun, Oct 21, 2018",7.9
858,859,"The Rebellious Daughter, Chiffon! Sanji's Big Plan for Transporting the Cake!",Luffy looks for a mirror to escape from Peros and Big Mom. Chiffon is attacked by Oven causing her father and Sanji to try and help her. Bege comes to rescue Chiffon.,"Sun, Oct 28, 2018",7.5
859,860,A Man's Way of Life! Bege and Luffy's Determination as Captains,Bege and his crew go to rescue Chiffon from Oven and pick up the cake. Carrot worries about a possible full moon. Luffy thinks about what he needs to do to beat Katakuri.,"Sun, Nov 4, 2018",7.9
860,861,The Cake Sank?! Sanji and Bege's Getaway Battle!,Luffy returns to fight Katakuri. The fire tank pirates escape with the cake but are pursued by Oven. Pound attacks Oven to stop him from going after Chiffon and the rest of the fire tank pirates.,"Sun, Nov 11, 2018",7.7
861,862,Sulong! Carrot's Big Mystic Transformation!,"Carrot turns into a sulong, an ability minks have on full moons. As a sulong Carrot's strength is greatly increased. Carrot attacks Daifuku's ship and the Big Mom pirates surrounding him. Carrot draws some of Daifuku's attacks making attack his own ships.","Sun, Nov 18, 2018",9.1
862,863,Break Through! The Straw Hat's Mighty Sea Battle!,Luffy's and Katakuri's long battle continues. Bege tries to poison the wedding cake but Sanji won't let him. Brook and Carrot deal with some of the Big Mom Pirates and retreat back to the sunny. Big Mom lands on the sunny seeking cake.,"Sun, Nov 25, 2018",8.1
863,864,Finally Clash - Yonko VS Straw Hat Crew,Luffy tries to use observation haki the same way Katakuri uses it in order to beat him. Big Mom and the straw hats fight.,"Sun, Dec 9, 2018",9.0
864,865,Dark King's Direct Precepts! The Battle Against Katakuri Turns Around!,The straw hats manage to capture Zeus. Luffy remembers his haki training with Dark King Rayleigh.,"Sun, Dec 16, 2018",8.7
865,866,"Finally He Returns! Sanji, the Man Who'll Stop the Emperor of the Sea!",Luffy begins to use observation haki a little more effectively allowing him to dodge some of Katakuri's attacks. As Big Mom attacks the straw hats Bege lures Big Mom away with the wedding cake and Sanji makes his way on the sunny.,"Sun, Dec 23, 2018",8.0
866,867,Lurking in the Darkness! An Assassin Targeting Luffy!,"As Luffy is fighting Katakuri, he is shot with a numbing agent by Katakuri's little sister. Oven orders everyone on cacao island to destroy or sink all there mirrors.","Sun, Jan 6, 2019",8.6
867,868,One Man's Determination! Katakuri's Deadly Big Fight!,"Katakuri notices Flampe has been shooting at Luffy, Katakuri then stabs himself as he wants an honorable victory. Chiffon convinces Bege to change course to a different island. Smoothie attacks the straw hats ship.","Sun, Jan 13, 2019",9.4
868,869,Wake Up! The Color of Observation Able to Top the Strongest!,Luffy thinks back to the days he was training with Rayleigh. Many of the Big Mom pirates gather at cacao island. Luffy uses a new form of fourth gear.,"Sun, Jan 20, 2019",9.2
869,870,A Fist of Divine Speed! Another Gear Four Application Activated!,"Luffy uses a new form for fourth gear, 'Snake Man'. Sanji makes his way to cacao island to back Luffy up.","Sun, Jan 27, 2019",9.5
870,871,Finally Concluded - An Outcome of the Fierce Battle with Katakuri,Luffy and Katakuri both land simultaneous blows ending their battle with both of them on the ground. Pekoms helps Luffy by bringing Brulee to allow him to escape from the mirror world.,"Sun, Feb 3, 2019",9.4
871,872,A Desperate Situation! The Iron-Tight Entrapment of Luffy!,Pekoms has a plan to allow Luffy to escape. Sanji takes Luffy and tries to skywalk to the sunny. The Big Mom pirates get attacked by an enemy they thought they had dealt with.,"Sun, Feb 10, 2019",9.0
872,873,Pulling Back from the Brink! The Formidable Reinforcements - Germa!,Brulee informs the Big Mom pirates that Luffy beat Katakuri. Sanji gets assistance from his siblings as he is carrying Luffy back to the sunny.,"Sun, Feb 17, 2019",9.1
873,874,The Last Hope! The Sun Pirates Emerge!,Sanji and Luffy make it back to the sunny. The fire tank pirates make it to their destination but their ship gets destroyed by Big Mom. As the straw hats are surrounded Jinbie's old crew the Sun pirates help them.,"Sun, Feb 24, 2019",8.6
874,875,A Fascinating Taste - Sanji's Cake of Happiness,Big Mom finally eats the cake. The Sun pirates help the straw hats but have to retreat after Oven heats the water. The straw hats are once again surrounded.,"Sun, Mar 3, 2019",8.7
875,876,"The Man of Humanity and Justice - Jinbe, a Desperate Massive Ocean Current",The fish-men temporarily fool the Big Mom pirates into believing that the straw hats are dead. Jimbe helps the Sun pirates and Luffy asks him to meet with the crew in the land of Wano when he's done.,"Sun, Mar 17, 2019",9.0
876,877,Time for Farewell! Pudding's One Last Request!,Carrot tells Sanji the news about Pedro. Germa and the Sun pirates continue on fighting with the Big Mom Pirates to allow for the straw hats to escape. Pudding remembers her time with Sanji. Brulee tends to Katakuri.,"Sun, Mar 24, 2019",9.4
877,878,The World in Shock! The Fifth Emperor of the Sea Arrives!,"The news of the assassination attempt on Big Mom's life by Luffy, Bege, Jimbe and Sanji makes news around the world.","Sun, Mar 31, 2019",8.6
878,879,To the Levely! Gathering of the Straw Hat Allies!,Luffy gets upset because he thinks he bounty has been lowered. Coby helps the royalty of Dressrosa and remembers his early days with Luffy.,"Sun, Apr 7, 2019",7.6
879,880,Sabo Goes into Action! All the Captains of the Revolutionary Army Appear!,The four captains of the revolutionary army stop pirates who are attacking a village. Sabo reads the news about Luffy. The revolutionary army prepares to declare war on the celestial dragons.,"Sun, Apr 14, 2019",7.7
880,881,Going into Action! The Implacable New Admiral of the Fleet - Sakazuki,Sakazuki is not happy with Fujitora going to any navy bases. Sengoku about how Luffy broke into impel down and the battle of marineford.,"Sun, Apr 21, 2019",6.2
881,882,The Paramount War! The Inherited Will of the King of the Pirates!,Sengoku thinks about how the marines should have killed Luffy and thinks back to the marineford war and Ace's death. Royalty starts to attend reverie.,"Sun, Apr 28, 2019",6.4
882,883,One Step Ahead of the Dream - Shirahoshi's Path to the Sun!,"Both Luffy and Sabo think back to when they met. Sabo's adoptive brother, Stelly, meets Garp.","Sun, May 5, 2019",6.5
883,884,I Miss Him! Vivi and Rebecca's Sentiments!,Vivi tells Rebbeca about how Luffy and his crew saved her country.,"Sun, May 12, 2019",6.5
884,885,In the Dark Recesses of the Holyland! A Mysterious Giant Straw Hat!,Vivi meets with Wapol and Dalton. Vivi and Dalton talk about Luffy and Chopper. Bartolomeo is giving out straw hat pins for people to wear. Doflamingo talks about the secret of Mariejois.,"Sun, May 19, 2019",7.3
885,886,The Uproarious Holy Land - Princess Shirahoshi is being targeted!,Stelly sees the empty throne and wishes to sit on it. The same celestial dragon that Luffy punched wishes to capture Shirahoshi and keep her as a pet. Rob Lucci is now part of CP0. Another celestial dragon saves Shirahoshi.,"Sun, May 26, 2019",7.1
886,887,On the Verge - The Two Yonko Targeting Luffy,"Big Mom and Kaido talk about straw hat Luffy and who gets to kill him. Brief recaps of Fish-man island, Punk Hazard, Dressrosa, Zou and Whole cake island is given. Shanks meets with the five elders.","Sun, Jun 2, 2019",8.3
887,888,Sabo Gets Angry - Tragedy of the Revolutionary Army Officer Kuma,"Sabo takes pictures of Mariejois. Sabo sees a celestial dragon, riding Kuma which sends him into a rage but he is stopped before he can attack by the revolutionary army's captains. Jewelry Bonney sneaks in Mariejois.","Sun, Jun 9, 2019",7.7
888,889,"Finally, It Starts! The Conspiracy-filled Reverie!",A recap of the events briefly before and after the time-skip. The reverie begins but with a mysterious figure who even the five elders answer to.,"Sun, Jun 16, 2019",7.5
889,890,Marco! The Keeper of Whitebeard's Last Memento!,A recap of some of Whitebeard's life. Marco is looking after Whitebeards home and thinks of it as a memento of Whitebeard. Marco talks about challenging Blackbeard.,"Sun, Jun 23, 2019",7.3
890,891,Climbing Up a Waterfall! A Great Journey Through the Land of Wano's Sea Zone!,Marco the leader of the first division of white-beard s crew carries on the legacy of his father.,"Sun, Jun 30, 2019",8.7
891,892,Wano Country! To the Land of Dancing Sakura and Samurai,It is revealed that the straw hats have been living in Wano under different names and keeping their identity secret. Zoro gets captured by the authority of Wano for a crime he didn't do and is told to commit seppuku.,"Sun, Jul 7, 2019",9.4
892,893,Otama Appears! Luffy vs. Kaido's Army!,Luffy is in the land of Wano but is separated from the rest of his crew. Luffy sees two animals fighting and is attacked but swiftly deals with them. Zoro is wanted in Wano after attacking samurai. Luffy befriends a girl named Otama.,"Sun, Jul 14, 2019",9.0
893,894,He'll Come! The Legend of Ace in the Land of Wano!,Otana invites Luffy to her home and gives Luffy rice. Luffy finds out more about Wano from Otana's master. Otana tells Luffy that she's waiting for Ace. Luffy informs her of Ace's death. Basil Hawkins makes his way to his men.,"Sun, Jul 21, 2019",9.1
894,895,"Side Story! The World's Greatest Bounty Hunter, Cidre!",The straw hats are attacked by bounty hunters and use coup-de burst to get away. Luffy wants to buy cola but ends up in a bath with Boa Hancock. The two of them are then attacked by the same bounty hunters.,"Sun, Jul 28, 2019",6.1
895,896,Side Story! Clash! Luffy vs. the King of Carbonation!,Cidre fights Luffy and his followers fight Boa Hancock. Some of the men explain to Zoro and Sanji that they are being forced to follow Cidre Guild. After Luffy defeats Cidre he finds an invitation to the Pirate Fest.,"Sun, Aug 4, 2019",5.9
896,897,"Save Otama! Straw Hat, Bounding through the Wasteland!","Luffy decides to take Otama to a Dr. Luffy dresses like a samurai and takes Kotetsu the 2nd, a cursed sword, with him. Zoro saves a woman being chased. Luffy and Zoro reunite. Basil Hawkins appears and is ready to attack Zoro and Luffy.","Sun, Aug 11, 2019",8.9
897,898,The Headliner! Hawkings the Magician Appears!,Zoro notices Luffy's sword and asks if he can hold it but Luffy refuses. Zoro and Luffy battle Hawkins's underlings. Luffy and Zoro are carried away by Komachiyo after he notices Otama's condition worsening. Hawkins pursues them.,"Sun, Aug 18, 2019",8.7
898,899,Defeat is Inevitable! The Strawman's Fierce Attack!,Zoro fights Hawkins's Strawman. Zoro defeats the Strawman allowing himself and Luffy to flee. The woman Zoro saved earlier gives Zoro and Luffy directions and offers to help Otama.,"Sun, Aug 25, 2019",9.1
899,900,The Greatest Day of My Life! Otama and Her Sweet Red-bean Soup!,"Otama drinks herbal medicine and quickly recovers. Tsuru offers Otama red-bean soup. Tsuru explains the situation of Wano. One of Kaido's subordinates to tries to kill Tsuru, something Zoro stops. Otama is kidnapped one of Kaido's goons.","Sun, Sep 1, 2019",8.7
900,901,Entering Enemy Territory! The Protagonists Spread into the Town of Bakura!,"Gazel-man takes Otama to Holdem, one of the 3 headliners in Bakura. Okiku tells Luffy and Zoro that she's a samurai. Otama is asked by Holdem how she tamed a giant baboon. Bepo tells Law that Luffy and Zoro are going to attack Bakura town.","Sun, Sep 8, 2019",7.6
901,902,The Yokozuna Appears! The Invincible Urashima Goes After Okiku!,"Luffytaro, Zorojuro, and Okiku finally make it to town but immediately are questioned. Luffy gets past them using his Haki to stay hidden, but once Urashima sees Okiku he makes his move again to try and make her his wife. She has other ideas after being captured.","Sun, Sep 15, 2019",7.6
902,903,A Climactic Sumo Battle! Straw Hat vs. the Strongest Ever Yokozuna!,Luffy faces against Urashima in a sumo match. Luffy sends Urashima crashing into Holdem's residence where Holdem tries to pull off Tama's cheek for the devil fruit power she possesses.,"Sun, Sep 22, 2019",7.0
903,904,Luffy Rages! Rescue Otama from Danger!,Holdem approaches holding Tama hostage before Luffy's group who were fighting the beast pirates.,"Sun, Sep 29, 2019",7.0
904,905,Fighting for Otama! Fight against Holdem!,"Holdem continues to taunt Luffy's group while holding Tama hostage, threatening to chew her up with Kamijiro. Kiku warns Luffy against attacking Holdem as Kuri is ruled by Jack, and he will destroy Bakura Town if they fight back.","Sun, Oct 6, 2019",8.5
905,906,Duel! The Magician and the Surgeon of Death!,"After defeating Holdem, Luffy grabs Tama and flees the scene. During the escape, they encounter Speed and Tama tames her. They then catch up to Zoro, Kiku, and Komachiyo as the latter three were fleeing with the stolen food cart.","Sun, Oct 13, 2019",8.6
906,907,Romance Dawn,"It adapts the second pilot of One Piece, telling a different backstory how Luffy became a rubber man. Luffy has to fight the pirate Spiel, which uses witch like magic to fight, and rescue a kidnapped girl named Ann and her pet bird.","Sun, Oct 20, 2019",6.0
907,908,The Coming of the Treasure Ship! Luffytaro Returns the Favor!,"Luffy's group delivers the stolen food cart to Okobore Town and Luffy also gives the residents clean water. After Luffy parted ways with Tama and Speed, Law takes the group to the ruins of Oden Castle.","Sun, Oct 27, 2019",8.6
908,909,Nazo no Bohyo - Oden Joseki de no Saikai!,"While Zoro battles a giant tiger, Luffy, Law, and Okiku arrive at Oden castle, the three reunite with Kin'emon as well as Momonosuke. Nami, Sanji, Chopper, and Brook then regroup with Luffy. Kin'emon reveals a shocking truth.","Sun, Nov 10, 2019",9.1
909,910,A Legendary Samurai! The Man Who Roger Admired!,"While traveling to Oden Castle, Komachiyo, Law, Luffy, Zoro, and Kiku encounter a ferocious tiger. The group later arrive at the ruins of Oden Castle. After seeing the graves of the Kozuki Family, Luffy reunites with his crew and allies","Sun, Nov 17, 2019",9.0
910,911,Bringing Down the Emperor of the Sea! A Secret Raid Operation Begins!,"Kin'emon lais out the plan of how they are going to defeat Kaido, but much work remains, such as recruiting allies and gathering information on the enemy.","Sun, Nov 24, 2019",8.3
911,912,"The Strongest Man in the World! Shutenmaru, the Thieves Brigade Chief!",Usohachi makes a discovery. Shutenmaru and Jack face off. Kaido makes his entrance.,"Sun, Dec 1, 2019",9.3
912,913,Everyone is Annihilated! Kaido's Furious Blast Breath!,"The drunken Kaido flies above Okobore Town in his dragon form and threatens Shutenmaru and all the people in the town. Luffy, Law, Kin'emon, and Kiku start running towards the town to rescue them.","Sun, Dec 8, 2019",9.2
913,914,Finally Clashing! The Ferocious Luffy vs. Kaido!,"Right after the destruction of Oden Castle, Luffy enters a furious battle with Kaido.","Sun, Dec 15, 2019",9.5
914,915, Hakai-teki! Ichigeki Hissatsu no Raimei Hakke!,"Luffy continues his furious battle with Kaido. Despite his best efforts, the battle ends in Luffy's defeat.","Sun, Dec 22, 2019",9.5
915,916, Iki-jigoku! Rufi Kutsujoku no Dai Tankutsu-jo,"After his defeat, Luffy is sent to a prison in the Udon region. Kiku returns to the mountain where Oden Castle was destroyed and discovers that the group there managed to escape the destruction.","Sun, Jan 5, 2020",8.9
916,917,The Holyland in Tumult! Emperor of the Sea Blackbeard Cackles!,Perona learns from a newspaper that Gecko Moria is alive and prepares to leave Kuraigana Island to search for him. Moria and his zombie army attack Pirate Island to find Absalom only to learn that he had been killed.,"Sun, Jan 12, 2020",9.1
917,918,Ugokidasu - Dato Kaido Daikeikaku!,"Dogstorm clashes with Shutenmaru, who refuses to aid in Kin'emon's operation. Sanji and the others seek out recruits.","Sun, Jan 19, 2020",8.1
918,919,Rampage! The Prisoners - Luffy and Kid!,"Nami and Shinobu finish with their current objective in the Flower Capital and Sanji's soba stand is growing more popular. In Udon, Luffy and Kid continue to work. The angry vice warden tries to attack them only to be defeated by the pair.","Sun, Jan 26, 2020",8.2
919,920,Dai Hyoban! Sanji no Ohako Soba!,Sanji tangles with some gang members who disrupt his soba business and learns that one of his customers has friends in high places.,"Sun, Feb 2, 2020",7.5
920,921,Goka Kenran - Wano Kuni Ichi no Bijo: Komurasaki,"Wano's most popular courtesan heads to the palace, but a revenge plot threatens the proceedings.","Sun, Feb 9, 2020",6.9
921,922,A Tale of Chivalry! Zoro and Tonoyasu's Little Trip!,"Zoro goes to a gambling house with Tonoyasu. Meanwhile, the Ninja-Pirate-Mink-Samurai Alliance works to steal weapons and food. Franky learns that Minatomo no longer has the blueprints of Kaido's mansion.","Sun, Feb 16, 2020",8.0
922,923,A State of Emergency! Big Mom Closes in!,"The banquet at Orochi's palace begins . Shinobu, Nami, and Brook sneak into the palace as well. Meanwhile, in Udon prison, Kid explains to Luffy and Caribou about how he lost his arm.","Sun, Feb 23, 2020",8.2
923,924,The Capital in an Uproar! Another Assassin Targets Sanji!,"King flies to the waterfall while the Big Mom Pirates are coming up and knocks their ship down. Meanwhile, back at the capital, Page One attack multiple soba shops and owners looking for Sanji.","Sun, Mar 15, 2020",9.0
924,925,Dashing! The Righteous Soba Mask!,"As he confronts Page One, Sanji puts on his Raid Suit and displays its capabilities. Back in the shogun's caste, Robin was sneaking around trying to find important information.","Sun, Mar 22, 2020",9.1
